"R17"	"R8"	"R2"	"R6"	"R3"	"R12"	"R15"	"R4"	"R13"	"R20"	"R1"	"R14"	"R19"	"R11"	"R5"	"R10"	"R18"	"R16"	"R9"	"R7"	"R53"	"R46"	"R47"	"R56"	"R59"	"R48"	"R50"	"R43"	"R49"	"R58"	"R42"	"R52"	"R44"	"R41"	"R57"	"R45"	"R51"	"R60"	"R55"	"R54"	"R22"	"R35"	"R34"	"R26"	"R31"	"R28"	"R27"	"R24"	"R21"	"R40"	"R36"	"R38"	"R33"	"R37"	"R29"	"R25"	"R32"	"R30"	"R23"	"R39"	"R73"	"R79"	"R80"	"R64"	"R78"	"R77"	"R68"	"R67"	"R65"	"R66"	"R62"	"R74"	"R61"	"R72"	"R75"	"R69"	"R63"	"R70"	"R71"	"R76"
"ECV"	0	0	0	0	0	0	2	2	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0
"EDEQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
"EEFA"	4	0	0	0	2	0	0	0	2	6	4	0	0	0	0	2	22	4	0	0	0	0	4	0	0	0	0	0	0	2	2	0	0	0	2	2	0	0	0	18	2	0	2	0	0	0	0	0	4	0	6	0	0	4	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	8	2	12	0	8	0	0	2	8
"EFM"	0	0	0	2	0	0	4	0	2	6	0	4	2	0	6	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	5	0	0	4	4	0	2	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	2	0	4	0	2	0	0	0	4
"EFMA"	0	0	0	6	0	0	2	0	4	2	2	0	0	0	2	0	4	4	0	0	0	0	0	0	2	0	0	0	0	0	6	2	2	2	4	0	0	0	0	4	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	2	0	0	2	4	0	0	0	0	0	0	0	6
"EFPA"	2	0	0	4	0	0	4	2	0	6	2	12	2	2	5	0	2	4	0	2	0	2	0	2	2	0	0	0	2	0	13	2	2	2	0	0	0	0	4	0	2	0	0	0	0	0	4	0	4	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	6	2	0	4	0	2	0	2	4	1	0	6
"EFRA"	2	0	0	7	0	0	2	0	3	9	0	0	0	2	6	0	2	2	0	2	0	0	0	0	4	2	0	0	0	0	0	2	2	0	7	0	0	3	7	2	2	2	0	0	0	2	0	0	0	0	0	2	2	8	0	0	0	0	0	0	0	0	0	0	37	2	0	2	0	2	2	4	2	2	0	2	0	0	0	7
"EFRB"	6	0	2	6	2	0	7	2	6	12	0	2	2	2	2	0	0	4	0	0	0	2	2	2	6	2	4	0	0	2	6	2	0	0	6	2	1	2	0	2	2	4	0	0	0	0	0	2	2	0	0	0	4	6	0	0	0	0	0	0	2	0	0	0	37	1	0	2	2	0	0	2	2	4	2	8	2	0	0	13
"ELM"	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	2	0	0	0	0
"EMBA|RequiresSNPConfirmation"	0	0	2	6	0	2	6	0	8	20	6	14	2	4	8	8	4	20	2	0	2	0	0	2	14	0	0	6	2	0	16	0	8	20	14	2	0	6	4	14	4	4	6	2	0	0	0	0	12	2	8	4	8	6	0	0	2	0	0	0	10	0	0	2	6	2	0	4	0	6	0	0	4	16	0	10	4	0	4	10
"EMBB|RequiresSNPConfirmation"	2	4	5	4	3	0	1	2	5	4	0	16	0	4	6	2	2	5	0	0	6	2	0	0	2	0	0	7	2	2	17	0	12	8	0	3	0	0	5	4	4	2	8	0	0	0	2	2	12	0	10	0	4	4	0	0	4	0	2	0	8	0	0	0	0	9	2	4	0	2	4	2	2	3	3	2	2	3	0	29
"EMBC|RequiresSNPConfirmation"	2	1	2	9	0	0	8	4	8	26	4	12	6	5	4	0	4	12	0	3	6	2	0	0	10	2	0	2	2	0	33	2	7	19	2	2	1	4	8	11	2	6	14	0	0	0	2	0	6	1	8	2	9	10	0	6	0	5	5	2	18	0	0	4	4	2	2	10	2	4	0	2	10	16	3	14	8	3	6	26
"EMBR|RequiresSNPConfirmation"	2	0	2	0	4	0	0	0	4	4	0	4	0	6	2	2	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	6	0	0	0	2
"EMEA"	4	0	0	4	0	0	2	2	0	15	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	2	0	0	0	2	0	2	0	0	0	0	0	0	0	4	0	2	0	0	8	0	0	0	2	0	0	0	0	0	0	16	0	0	0	0	4	0	2	6	1	2	4	2	0	0	8
"EMHA"	2	0	1	2	0	0	4	0	2	3	0	9	2	0	8	0	0	4	0	0	6	0	0	0	2	2	0	0	0	0	2	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	2	4	0	0	2	0	1	0	2	0	0	0	2	0	0	2	0	2	0	6	2	3	0	6	0	0	0	0
"EMHB"	4	6	10	14	0	1	4	15	7	93	4	32	0	28	16	8	13	17	1	5	14	0	2	4	14	2	0	22	17	1	37	6	12	13	10	0	10	4	7	7	6	8	15	0	1	0	1	0	58	7	14	0	13	12	0	0	8	0	34	2	26	0	0	3	6	15	4	9	1	6	0	13	30	24	7	20	4	14	3	139
"EMHC"	2	1	0	2	2	0	0	0	6	36	6	20	0	16	2	0	4	4	2	4	0	2	3	0	8	4	0	26	6	1	24	2	6	3	3	0	2	6	8	2	0	2	3	0	2	0	8	4	26	0	12	0	1	10	0	0	2	0	6	0	12	0	0	0	5	3	0	2	4	2	2	17	21	1	5	6	0	5	6	66
"EMHR"	0	0	0	0	0	0	4	0	2	3	0	3	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	4	0	2	2	0	0	0	2	2	6	0	0	2	0	0	2	0	0	4	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	2	2
"EMMDR"	2	2	0	6	0	0	2	0	0	1	0	2	0	4	2	0	4	8	0	0	6	2	0	0	6	2	0	2	0	0	2	0	0	0	6	0	0	0	0	4	0	2	2	0	2	0	0	0	6	0	4	0	2	2	2	0	0	0	0	0	2	0	0	0	0	2	0	0	2	2	0	4	6	4	0	4	0	0	0	0
"EMRA"	2	10	1	0	2	2	4	0	0	10	2	2	0	4	0	4	4	6	0	4	39	0	0	0	5	10	2	2	2	29	1	3	0	0	2	1	0	0	4	4	4	0	0	0	0	0	0	0	0	110	2	0	0	5	0	0	0	2	0	0	16	0	0	0	53	2	0	9	1	2	0	0	4	0	0	8	0	4	2	5
"EMRASM"	4	2	2	6	5	0	4	1	16	26	2	24	0	0	4	0	2	2	0	0	0	0	2	0	6	4	2	6	0	0	10	0	0	4	6	0	0	0	0	10	0	0	10	0	4	0	2	0	12	0	7	6	0	6	0	0	4	0	10	2	12	0	0	0	28	0	0	8	2	16	0	2	2	12	0	18	4	2	2	13
"EMRB"	4	9	0	2	0	0	1	0	4	7	0	2	0	0	2	4	0	4	2	0	56	0	2	0	6	18	0	2	0	35	7	1	0	4	0	2	2	0	4	2	0	0	2	2	0	0	2	0	4	148	2	0	2	4	0	0	2	0	0	0	9	0	0	0	76	2	0	3	0	2	0	4	2	1	0	2	0	2	0	15
"EMRBSM"	0	6	4	2	2	0	10	0	10	20	6	43	0	2	2	0	2	6	2	2	2	0	0	2	6	0	0	0	2	0	8	0	4	4	12	0	1	0	2	12	0	2	2	2	0	2	2	0	5	0	10	2	0	2	0	0	0	0	2	0	1	0	0	0	30	2	2	0	0	2	2	2	2	4	0	2	2	0	2	12
"EMRCSM"	0	6	0	6	0	0	8	8	2	22	0	14	0	4	14	2	2	4	0	4	0	0	0	0	2	0	0	2	2	4	18	0	12	2	2	0	0	0	6	10	0	2	4	0	0	0	8	4	18	0	0	2	0	12	0	0	8	0	6	2	10	0	0	0	14	4	0	2	0	0	0	2	8	8	0	6	0	0	6	10
"EMRD"	9	7	0	4	2	0	6	2	4	4	0	0	0	4	2	6	7	0	0	0	52	2	4	0	34	19	0	4	0	48	8	4	0	6	4	2	1	10	0	8	2	2	2	0	0	4	0	2	0	134	9	1	0	16	0	0	5	0	0	2	28	0	0	2	165	4	0	6	4	4	0	4	0	2	2	10	6	5	0	4
"EMRE"	0	0	0	2	0	0	0	0	0	4	2	10	0	8	2	0	0	0	0	4	0	0	0	0	6	2	0	0	0	0	4	0	4	4	2	0	0	0	2	0	0	0	2	0	0	0	0	0	6	0	6	0	2	4	0	0	0	0	0	2	10	0	0	0	34	0	2	0	0	6	0	2	4	0	0	2	0	0	0	4
"EMRK"	0	8	2	0	0	0	3	0	0	2	0	0	0	0	2	2	2	0	0	0	24	0	0	0	13	16	0	0	0	33	0	1	0	0	1	2	0	2	4	2	0	2	2	6	0	0	2	0	0	66	0	0	0	5	0	0	4	0	2	0	11	0	0	0	87	0	2	2	4	4	0	2	2	0	0	0	2	0	0	4
"EMRR"	3	2	3	0	0	0	0	0	2	0	4	0	0	0	4	3	0	3	2	0	16	0	0	0	6	5	0	0	0	12	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	7	42	2	0	0	2	0	0	2	0	2	0	7	0	2	0	31	0	0	1	1	0	0	0	0	2	2	0	0	0	0	4
"EMRRSM"	2	0	0	2	0	0	0	0	0	4	0	8	0	2	4	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	4	2	2	0	2	0	0	0	4
"EMRY"	2	11	0	2	0	0	4	0	0	2	2	0	0	4	0	2	0	8	0	0	34	0	2	0	4	15	2	2	2	33	0	1	0	4	5	0	0	2	0	6	0	0	0	0	0	2	0	0	14	105	0	0	2	1	0	0	0	2	0	2	10	0	0	0	82	0	0	4	0	2	0	2	4	4	0	2	0	2	0	18
"EMTA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	4	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	2	0	4	0	8	0	0	0	0
"EPTA"	3	15	6	3	0	4	6	8	0	5	0	0	0	5	0	7	0	4	2	0	67	4	2	0	13	35	0	2	0	44	1	6	0	8	10	4	2	2	0	0	0	0	6	0	0	0	0	0	6	186	2	0	4	14	0	0	4	0	0	2	26	0	0	0	135	0	0	6	3	2	2	2	0	6	0	14	0	2	6	8
"EREA"	0	0	0	4	2	0	4	0	2	2	0	0	2	2	0	0	0	4	2	0	2	0	0	0	2	0	0	2	0	0	8	0	0	2	6	0	0	0	0	2	0	2	4	0	0	0	2	0	4	0	0	2	0	4	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	10	0	4	0	4	0	2	4	2	0	4
"EREB"	6	0	0	0	0	0	4	0	4	10	0	0	0	0	2	2	2	6	0	0	22	0	2	2	6	0	0	0	0	0	2	0	2	4	4	0	2	8	2	4	0	0	2	0	0	4	0	0	2	0	2	3	0	0	0	0	0	0	0	2	8	0	0	0	0	2	4	0	0	0	0	2	0	4	0	0	2	0	0	6
"ERED"	0	0	5	2	0	0	3	29	2	183	2	2	2	4	2	4	2	12	3	0	0	0	4	0	5	4	0	4	0	0	9	0	0	0	2	0	2	6	10	2	0	0	4	0	2	0	0	0	28	0	4	2	2	2	0	0	4	0	2	0	0	0	0	1	2	4	0	4	0	0	2	5	4	4	2	0	0	1	3	31
"ERM"	16	6	10	32	7	0	19	20	33	148	8	17	2	36	30	14	20	66	6	10	10	0	2	4	42	8	2	12	22	8	57	8	20	28	56	6	0	37	10	56	4	4	16	0	3	0	12	8	40	10	22	14	23	24	2	2	12	6	2	12	52	0	0	5	12	10	11	14	12	24	8	28	26	52	2	62	8	13	2	75
"ERM30"	0	0	0	2	0	0	0	0	0	6	0	4	0	2	4	0	4	0	0	2	0	0	0	2	2	0	0	2	0	0	8	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	8
"ERM32"	0	0	0	4	0	0	10	0	6	14	0	6	2	0	3	0	2	6	0	0	0	0	2	0	3	0	0	0	0	0	4	4	0	4	5	1	0	2	2	7	0	0	0	2	0	0	5	0	0	2	4	2	0	6	0	0	0	0	0	0	7	0	0	0	2	0	0	4	2	2	0	2	2	2	0	6	2	0	0	12
"ERM37"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	6	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	12
"ERM41"	0	0	2	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0
"ERM42"	4	2	11	2	0	0	4	23	2	280	2	2	0	0	0	0	0	2	2	0	0	2	0	0	2	2	0	2	0	0	4	0	0	2	0	0	0	0	0	1	0	2	3	0	0	0	1	0	7	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	6	6	4	2	0	0	2	0	6
"ERM44"	0	0	0	6	0	0	0	0	2	6	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	2	0	8	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0
"ERMA"	2	0	3	10	0	0	10	3	18	327	2	2	0	3	1	2	4	14	0	0	0	0	0	0	10	0	2	5	0	0	6	0	2	0	2	0	3	19	2	13	0	0	8	0	2	0	2	0	2	0	6	14	2	0	0	0	0	0	0	0	6	0	0	0	0	0	7	4	0	10	2	2	10	12	2	2	2	2	2	17
"ERMB"	11	2	4	4	4	0	13	2	9	119	0	3	0	19	15	10	4	5	4	0	6	0	4	0	20	2	0	6	0	4	18	0	2	0	11	2	3	0	0	4	0	2	6	0	0	0	2	0	8	0	2	0	2	225	0	0	12	2	0	2	12	0	0	2	2	9	0	0	0	2	2	10	12	6	0	6	4	2	1	14
"ERMC"	1	0	1	2	0	0	2	8	6	13	0	2	0	4	0	0	2	0	0	0	6	0	0	2	8	0	0	0	2	0	4	0	0	2	4	0	0	8	0	12	0	0	4	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	2	16	0	0	0	0	2	6	2	0	2	2	0	6	2	2	0	0	0	0	0
"ERMD"	6	0	0	6	4	0	0	0	2	2	0	0	0	2	0	0	2	2	0	0	0	2	2	0	4	0	0	0	0	0	2	2	0	6	6	2	0	0	0	4	4	0	2	0	0	0	2	2	6	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	0	2	0	4
"ERME"	2	2	2	0	2	0	0	0	2	14	0	10	0	4	4	0	0	2	0	0	8	0	0	0	0	0	0	2	2	0	8	0	4	0	4	0	2	0	4	2	2	2	2	0	0	0	0	0	6	0	2	2	2	2	0	0	2	0	2	2	28	0	0	0	2	2	0	2	0	0	0	2	6	0	0	2	0	2	0	12
"ERMF"	35	0	17	4	0	0	9	32	0	213	0	0	0	2	74	1	0	5	0	0	0	2	0	4	45	0	0	0	3	12	7	21	0	3	2	11	0	2	5	2	4	0	0	0	1	0	44	0	13	0	5	2	0	23	0	2	36	0	0	2	74	0	0	5	0	6	0	1	0	2	0	8	4	6	0	4	4	0	7	14
"ERMG"	14	2	3	4	0	0	13	0	2	11	1	0	0	0	26	40	0	2	0	0	2	0	0	0	27	0	0	0	0	1	14	1	0	2	5	2	0	8	2	2	4	0	4	0	0	0	14	2	0	0	2	4	0	0	0	0	7	0	0	0	31	0	0	2	0	0	0	0	2	2	0	11	0	4	0	0	0	0	0	11
"ERMH"	4	0	2	4	2	0	2	0	4	2	0	4	0	0	2	0	0	2	0	2	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	6	0	2	2	0	0	0	0	2	0	2	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	6	0	0	0	2
"ERMN"	0	0	0	0	0	0	0	0	4	2	0	4	0	2	4	2	2	6	0	0	0	0	0	0	2	0	0	2	2	0	2	2	4	0	0	0	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	6	4	0	0	0	2	0	0	8
"ERMO"	0	6	0	6	4	0	0	0	0	8	4	8	0	4	0	2	4	20	0	2	2	0	0	0	2	0	0	6	2	0	0	0	8	12	4	0	2	0	2	6	0	0	0	0	0	2	0	0	4	4	2	0	0	8	0	0	0	0	4	0	2	0	0	2	2	0	0	2	4	6	0	2	4	16	2	8	2	0	0	18
"ERMQ"	0	0	0	2	0	0	10	0	0	8	0	0	2	0	0	0	4	6	0	0	8	0	0	2	8	0	0	0	0	0	3	2	0	4	4	0	0	2	0	10	0	0	4	2	2	4	0	0	0	0	2	0	4	6	0	0	0	0	0	0	12	0	0	0	0	4	0	4	0	0	0	0	2	8	2	6	4	0	0	2
"ERMR"	4	2	4	2	0	0	0	0	0	12	0	4	0	4	2	2	2	8	2	0	0	0	0	0	0	2	0	2	0	2	8	2	0	4	6	0	6	0	6	4	0	0	2	0	2	0	6	0	6	2	2	0	0	4	0	0	2	0	2	0	10	0	0	0	2	6	0	4	0	4	2	0	4	2	0	2	0	2	0	6
"ERMS"	2	2	4	0	0	0	6	2	0	8	0	6	0	0	2	0	0	6	0	0	2	2	0	0	0	2	0	0	0	0	6	0	4	6	0	2	2	0	0	8	0	0	0	0	0	0	0	0	2	2	2	0	6	2	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	4	2	4	0	0	2	0	0	0
"ERMT"	0	0	0	1	0	0	2	2	2	25	2	0	0	4	0	0	0	4	0	0	0	2	0	0	2	0	0	0	0	0	0	4	0	6	0	0	0	2	0	4	0	0	6	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	2	2	2	4	0	0	2	0	0	0	8
"ERMU"	0	0	0	0	2	0	0	0	2	0	0	2	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	4	0	2	2	4	0	0	0	0	0	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	4	0	0	0	0	0	2	6	0	0	0	0	0	2	0	2	0	0	2	4
"ERMV"	0	0	0	0	0	0	0	0	2	8	0	8	0	2	0	0	4	0	0	2	0	0	0	0	0	0	0	2	0	0	14	2	2	4	0	2	0	0	6	2	0	2	2	0	0	0	0	2	2	0	0	0	2	10	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	8	2	2	2	2	2	4	0	0	0	8
"ERMX"	0	2	5	2	0	0	2	0	2	40	0	2	0	0	0	2	2	8	0	0	0	0	0	2	0	2	2	0	0	0	4	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	2	2	0	5	2	0	1	2
"ERP"	0	0	2	0	2	0	0	2	4	0	0	0	2	4	2	0	2	0	0	0	0	0	0	0	4	2	0	0	0	0	4	0	0	0	2	0	0	0	0	6	2	0	4	0	0	0	2	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	2	0	0	0	2	8	0	2	4
"ESP"	0	0	2	0	0	0	0	0	2	6	2	0	0	0	2	4	0	4	2	0	0	0	0	0	8	2	0	0	0	2	2	0	0	0	8	0	0	0	4	0	0	2	6	0	2	0	2	0	3	0	2	2	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	0	6	2	0	0	2
"ESTD"	2	0	0	2	0	0	0	0	8	10	2	22	0	4	8	0	0	6	0	2	0	4	6	0	12	4	0	0	0	0	8	2	0	6	8	2	0	0	0	4	2	0	2	0	0	0	14	0	4	0	4	0	2	8	0	0	2	0	0	0	2	0	0	0	6	4	0	0	0	2	4	2	0	10	2	6	0	2	0	4
"ETHA|RequiresSNPConfirmation"	0	0	0	0	2	0	0	0	10	6	2	10	0	2	2	0	0	2	2	4	0	0	0	0	2	2	0	2	0	0	11	2	2	4	2	2	0	0	2	8	2	0	4	0	0	2	2	0	2	4	0	0	2	2	0	0	0	0	1	2	6	0	0	4	2	0	0	2	4	4	0	2	0	8	0	0	2	0	0	10
"EVGA"	4	4	0	0	2	0	2	0	2	0	2	2	0	4	2	0	2	2	0	0	11	0	2	0	1	5	0	0	0	15	2	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	2	4	4	28	0	0	2	1	0	2	0	0	0	0	8	0	0	0	49	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
"EVGS"	13	21	3	10	4	0	9	0	2	26	2	0	0	0	8	11	4	16	0	2	76	0	0	2	12	38	0	4	2	49	8	8	2	2	10	2	0	10	4	10	4	2	12	2	0	2	2	4	6	233	2	2	2	13	2	0	2	0	2	4	34	0	0	0	224	8	0	4	5	10	2	2	10	22	0	11	0	2	2	24
"EVM"	0	0	0	2	0	0	0	2	0	4	2	6	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	4	4	0	0	0	0	2	2
"EXO"	8	0	0	0	0	0	4	0	4	4	0	0	0	2	4	2	4	6	0	0	0	0	0	0	4	0	0	2	0	0	4	2	8	2	4	2	2	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	12	0	0	2	0	0	0	14	0	0	0	4	2	0	0	2	2	0	6	0	2	0	6	2	2	0	4
"FABG|RequiresSNPConfirmation"	3	4	0	5	0	0	0	0	0	12	0	0	0	8	0	5	0	5	2	2	34	0	0	0	4	6	0	3	0	21	3	0	8	2	6	0	2	0	0	6	0	0	2	0	0	0	0	0	0	46	2	2	0	1	0	0	0	0	0	0	5	0	0	2	96	0	0	1	4	0	0	2	1	0	8	5	0	1	2	3
"FABI"	1	7	6	5	0	0	4	8	4	19	0	1	0	8	0	4	6	8	0	1	40	0	4	0	6	15	0	4	3	30	1	0	3	4	4	2	0	7	2	6	0	4	4	0	2	0	2	0	10	68	8	0	3	12	0	2	3	2	6	0	8	0	0	3	122	7	2	0	1	2	1	6	8	6	3	4	2	4	0	65
"FABK"	0	0	0	0	0	0	3	0	2	10	2	0	0	2	2	0	0	6	0	2	0	0	0	0	4	0	0	2	0	0	0	0	0	0	12	0	0	2	0	6	2	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	6	0	2	0	4	0	6	2	10	0	4
"FABL"	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	4	4	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	4	0	2	2	0	0	0	0	0	0	4	0	0	0	32	0	2	0	0	2	2	0	2	4	0	0	0	0	0	0
"FABV"	2	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	2	2	1	0	2	2	0	0	0	0	0	0	0	5	0	3	0	6	0	0	2	0	2	0	0	2	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	2	2	2	0
"FACT"	0	0	0	8	4	0	6	0	6	20	6	15	0	6	4	4	6	6	0	6	0	0	2	0	8	2	0	0	6	2	5	2	4	10	6	2	4	4	8	20	2	0	20	0	0	0	2	0	10	4	12	4	0	16	0	0	2	0	2	0	38	0	0	0	6	4	4	6	0	16	0	20	4	12	0	24	2	0	0	14
"FAR1"	4	2	0	0	0	0	0	0	4	12	0	12	2	0	8	2	2	4	4	2	0	0	0	0	8	4	2	0	0	2	8	0	2	6	0	0	0	0	0	2	2	0	10	0	0	0	0	0	2	0	6	2	2	14	0	2	0	0	2	0	8	0	0	0	2	0	0	0	0	2	0	4	2	12	2	4	0	0	0	6
"FARA"	4	0	0	0	0	0	2	0	4	18	0	6	0	2	2	2	0	4	0	0	2	0	0	0	6	0	0	0	0	0	2	0	6	4	0	0	0	4	0	2	0	0	2	0	2	0	0	0	0	0	4	4	6	14	0	0	6	0	0	4	20	0	0	2	0	0	0	2	2	4	0	8	0	4	2	4	0	2	0	10
"FARB"	0	0	0	0	0	0	0	2	12	16	0	0	0	8	0	2	0	10	0	2	0	0	0	2	4	2	0	0	2	0	8	4	2	10	8	0	4	4	0	6	2	2	10	4	0	2	4	0	0	0	2	2	4	6	0	0	2	0	4	0	2	0	0	4	0	0	0	2	0	2	4	6	4	6	0	18	2	0	2	10
"FARR"	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	2	2
"FBPA"	0	0	0	6	0	0	2	0	2	4	0	0	0	6	0	0	0	2	2	0	0	4	0	2	0	4	0	2	6	0	0	0	0	0	10	0	0	4	0	10	0	0	4	0	2	0	0	0	8	0	2	0	0	4	0	2	0	0	2	0	0	0	0	4	0	2	2	0	0	2	0	2	8	10	0	2	0	4	0	2
"FBPB"	0	0	0	0	0	0	0	0	0	2	0	0	0	2	4	0	0	4	0	0	0	0	0	0	6	2	0	0	0	0	6	0	0	2	6	0	0	2	4	4	0	0	4	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	2	2	24	0	0	0	0	0	0	0	0	2	0	4	4	4	0	4	2	0	0	4
"FBPC"	0	2	0	6	0	0	4	0	2	4	0	0	0	3	2	0	0	0	0	0	0	0	2	2	4	4	0	6	0	0	16	2	0	2	6	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	12	0	0	2	0	2	0	0	0	6	0	6	0	6	0	6	2	0	0	2
"FECD"	0	0	2	4	0	0	2	0	2	3	0	0	0	0	0	1	2	3	0	0	52	2	0	0	6	22	2	2	0	0	2	0	2	0	7	1	0	0	2	2	0	0	4	2	0	0	0	0	2	0	0	4	2	1	0	0	0	0	6	0	10	0	0	0	108	0	0	4	4	0	0	2	1	5	0	4	0	2	0	6
