"R17"	"R8"	"R2"	"R6"	"R3"	"R12"	"R15"	"R4"	"R13"	"R20"	"R1"	"R14"	"R19"	"R11"	"R5"	"R10"	"R18"	"R16"	"R9"	"R7"	"R53"	"R46"	"R47"	"R56"	"R59"	"R48"	"R50"	"R43"	"R49"	"R58"	"R42"	"R52"	"R44"	"R41"	"R57"	"R45"	"R51"	"R60"	"R55"	"R54"	"R22"	"R35"	"R34"	"R26"	"R31"	"R28"	"R27"	"R24"	"R21"	"R40"	"R36"	"R38"	"R33"	"R37"	"R29"	"R25"	"R32"	"R30"	"R23"	"R39"	"R73"	"R79"	"R80"	"R64"	"R78"	"R77"	"R68"	"R67"	"R65"	"R66"	"R62"	"R74"	"R61"	"R72"	"R75"	"R69"	"R63"	"R70"	"R71"	"R76"
"ACRB"	6	26	8	9	2	0	14	9	12	83	4	9	0	41	16	5	4	24	0	4	91	0	5	0	33	39	0	14	15	50	54	2	11	4	23	13	8	3	18	12	4	3	8	0	1	2	11	5	62	307	15	0	5	20	0	0	4	0	1	2	38	0	0	4	406	18	4	8	2	9	0	25	53	11	3	25	3	18	9	131
"ACRC"	0	2	0	4	4	0	2	2	6	10	0	8	2	2	4	0	2	0	0	0	4	2	0	0	0	2	0	0	2	0	4	0	6	2	2	0	0	0	0	0	0	2	6	0	0	2	0	0	0	4	0	0	0	2	0	0	0	0	4	0	4	0	0	4	2	4	0	0	0	4	0	4	4	0	0	6	2	2	0	4
"ACRD"	20	14	4	20	0	0	20	7	9	99	4	23	0	25	34	2	0	17	4	9	106	0	2	0	28	42	2	7	20	66	45	2	12	22	10	8	3	20	20	15	8	2	18	2	0	0	7	2	46	276	11	4	18	20	0	0	9	0	53	3	43	0	0	5	436	8	0	8	17	2	0	44	19	20	11	24	6	6	9	142
"ACRE"	1	6	2	0	0	0	0	0	4	2	2	0	0	0	6	2	0	2	3	2	40	0	0	0	6	20	2	1	0	34	0	3	0	0	0	2	0	0	0	4	2	2	0	0	0	0	2	0	4	107	4	0	0	8	0	0	1	0	0	0	15	0	0	0	87	0	0	0	2	0	0	3	2	0	1	6	0	2	2	4
"ACRF"	9	28	2	15	1	0	15	2	8	34	0	4	2	16	14	10	4	14	2	0	182	0	2	0	12	53	4	5	2	91	15	4	4	8	17	4	0	6	2	10	6	0	4	0	2	0	8	2	20	371	5	0	4	26	2	2	4	0	14	1	57	0	0	0	344	0	12	8	4	4	0	5	6	20	5	13	0	6	0	29
"ACRR|RequiresSNPConfirmation"	6	1	3	4	0	2	1	0	8	5	0	0	0	2	4	1	2	8	0	0	26	0	2	0	9	9	0	4	0	16	4	0	0	2	5	2	0	10	4	6	0	0	2	0	0	2	0	0	4	55	4	4	2	8	0	0	0	2	0	0	11	0	0	0	87	4	0	2	0	4	0	2	2	2	4	0	0	0	0	18
"ACRS"	0	2	0	7	0	0	0	0	0	2	2	0	2	4	0	1	2	0	0	0	22	0	0	0	2	9	1	1	2	19	2	0	0	0	3	0	0	4	0	0	0	0	8	0	0	0	1	0	0	59	4	0	0	6	0	0	1	0	0	0	9	0	0	0	56	0	0	0	0	2	1	0	2	0	0	2	0	0	0	2
"ACT"	16	8	4	4	0	2	16	2	38	48	20	8	0	12	24	2	36	40	2	2	0	2	2	6	24	10	2	4	8	4	10	4	14	20	14	2	0	12	8	42	6	4	4	0	4	4	0	2	18	0	22	6	0	12	0	6	6	2	4	8	32	0	0	2	2	10	0	8	4	20	2	8	2	46	2	40	4	0	12	48
"ACTA"	0	0	0	2	0	0	2	0	4	12	0	6	0	0	2	0	2	4	2	0	0	2	0	0	0	0	0	2	0	0	2	0	6	0	10	0	0	0	2	4	2	0	6	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	2	6	4	0	0	0	2	0	2	6	0	4	0	2	0	4	0	6	0	2	2	0
"ACTP"	2	3	9	4	4	2	17	15	19	83	7	13	4	18	7	1	3	22	2	10	1	0	8	2	13	0	0	11	7	0	34	0	22	10	8	2	2	7	5	26	2	4	9	0	0	0	9	2	10	2	6	6	10	15	6	4	2	1	23	8	25	0	0	3	2	9	8	4	0	4	0	3	11	25	2	14	2	1	4	40
"ACTP1"	4	0	6	10	5	0	14	4	6	93	8	25	0	4	2	0	0	8	0	6	22	2	2	2	15	0	0	4	6	0	22	1	30	4	4	2	0	6	4	21	2	0	20	0	0	0	4	2	15	0	1	4	0	12	0	0	6	2	8	0	26	0	0	4	15	2	2	2	0	10	0	17	12	12	0	6	6	0	6	23
"ACTPC"	4	3	5	2	3	0	8	3	8	39	0	38	0	15	18	4	2	16	0	6	0	0	4	0	14	0	0	2	6	6	47	2	5	4	14	0	10	4	8	16	6	6	14	0	0	2	12	2	22	0	6	4	2	4	0	0	0	2	5	2	32	0	0	2	14	2	0	0	0	8	0	14	8	28	8	18	0	4	6	37
"ACTR"	2	0	0	2	2	0	0	2	0	10	0	5	0	2	2	0	2	4	0	0	0	0	2	0	0	0	0	1	0	0	5	0	3	0	4	0	2	0	0	0	0	0	2	0	0	0	0	2	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	0	0	5	4	0	0	0	0	2	2
"ACTS"	4	6	2	4	0	0	4	2	10	5	2	14	0	4	6	0	0	0	2	2	2	2	2	0	8	0	0	1	0	2	9	0	2	4	2	4	0	2	4	2	0	0	4	0	0	0	2	2	4	0	2	0	2	2	0	0	0	0	4	4	6	0	0	2	2	2	0	0	0	2	0	2	2	4	0	14	0	1	8	12
"ADC"	6	14	4	32	2	2	28	4	24	76	6	6	6	30	32	8	20	28	4	10	4	2	2	2	30	12	8	16	8	10	44	0	10	39	38	2	2	38	10	44	8	4	24	2	0	2	4	8	36	2	16	10	6	10	0	0	0	2	14	4	34	0	0	6	2	18	4	20	2	22	8	28	22	20	4	24	10	16	4	62
"ADEA"	2	0	0	0	0	0	2	0	0	6	2	0	0	4	0	0	0	6	2	0	0	0	0	0	4	2	0	0	0	0	4	0	0	4	0	0	0	0	0	0	2	0	4	0	0	0	0	0	2	0	0	2	0	4	2	0	2	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	6	4	0	6	0	2	0	4
"ADEB"	8	0	0	8	4	0	4	0	6	8	4	0	0	10	6	0	4	10	0	0	0	0	0	2	18	0	0	0	4	0	6	4	2	6	10	2	2	0	4	8	0	0	0	0	0	0	0	0	6	2	0	2	0	2	0	2	2	0	2	0	22	0	0	0	2	0	0	2	0	2	0	6	8	9	0	14	2	4	0	11
"ADEC"	0	4	0	2	0	0	0	0	0	12	0	2	0	0	2	2	0	6	2	0	0	2	0	0	0	0	2	2	0	0	4	2	2	6	4	0	0	0	2	2	0	0	2	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	0	6	0	0	2	6
"ADED"	4	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	6
"ADEE"	0	0	0	6	0	0	2	0	4	12	2	2	2	8	0	2	4	8	0	2	0	2	2	0	4	2	0	0	0	2	4	0	0	0	4	0	0	8	0	2	0	0	4	0	0	4	2	0	8	0	3	2	4	4	0	0	1	0	0	0	4	0	0	2	0	0	0	2	0	2	2	0	6	4	0	6	2	2	0	10
"ADEF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	4	0	0	0	2	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	10
"ADEG"	6	0	0	4	0	0	0	0	6	4	0	2	0	6	2	0	2	2	2	2	0	0	0	0	4	2	0	2	0	0	12	2	0	2	2	0	0	0	0	0	2	0	0	2	0	2	2	0	0	0	2	0	2	4	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	4	0	0	0	4	0	0	0	0	0	4
"ADEH"	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	4	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	4	2	0	0	0	0	4	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	8	0	0	0	4	0	2	0	0	0	0	0	0	0	10
"ADEI"	2	3	2	7	0	0	0	0	0	5	2	0	2	0	1	0	0	1	2	2	0	0	0	0	4	0	2	0	2	0	2	2	0	14	4	0	1	0	0	5	0	0	2	2	0	0	0	0	30	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	1	4	0	2	2	6
"ADEJ"	4	21	0	6	2	0	4	1	0	52	0	0	2	16	3	0	2	13	0	2	8	0	2	0	16	0	1	6	0	0	10	3	5	78	5	3	9	0	6	27	0	4	6	0	0	4	0	4	124	2	0	0	9	6	0	0	4	2	3	0	10	0	0	0	2	4	0	4	2	10	0	8	6	11	4	10	2	2	12	28
"ADEK"	2	5	0	0	0	0	1	1	0	25	0	0	0	2	0	0	0	7	0	5	0	0	2	0	16	0	0	2	4	0	0	2	0	30	14	1	1	4	6	5	0	2	0	2	0	0	0	0	51	0	2	0	3	2	0	0	2	1	2	0	2	0	0	2	2	4	0	2	0	0	0	0	2	3	2	2	0	0	3	17
"ADEL"	0	0	0	2	0	0	0	0	0	0	2	0	0	0	4	0	2	4	2	2	0	2	0	0	0	2	0	0	0	0	2	0	0	4	2	0	0	2	2	2	0	0	0	0	0	0	2	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	4	0	0	0	0	14
"ADEN"	2	0	0	2	0	0	0	0	0	8	0	0	0	0	2	0	0	2	2	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	4	0	4	2	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	2	0	2	4
"ADER"	0	4	0	0	0	0	0	0	0	8	2	2	0	6	0	4	6	2	0	0	0	0	0	0	2	0	0	2	2	0	6	0	0	0	2	4	0	0	2	2	0	2	6	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	4	0	2	2	0	0	0	2	2	10
"ADES"	4	0	0	4	0	0	2	0	2	6	0	0	0	2	0	0	0	6	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	4	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0
"ADET1"	0	0	0	0	0	0	2	0	2	10	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	2	2	0	4	0	2	6	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	4	0	0	0	0	0	2	6
"ADET2"	2	0	0	2	0	0	4	0	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	2	0	2	0	2	4	2	4	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	2	0	4	0	0	0	0	2	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2
"AER"	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0
"AFM"	0	2	2	2	2	0	2	0	2	6	0	4	0	6	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	2	6	0	8	0	2	0	0	2	2	0	0	0	2	0	0	4	0	0	8	0	4	0	0	0	0	0	2	0	0	0	2	0	0	2	4	2	0	4	0	4	0	6	2	0	0	0	0	2	0	4
"AIM"	0	2	0	0	0	0	6	0	6	9	0	10	0	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	0	0	10	0	6	2	2	0	0	0	3	3	0	0	2	0	0	0	0	0	2	0	2	0	4	0	0	0	0	0	2	2	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	6	0	0	2	0
"AIOA"	0	0	0	2	0	2	2	2	6	2	0	2	0	4	0	0	0	8	2	0	0	0	0	0	4	2	0	0	2	0	4	0	2	2	8	0	0	2	0	4	0	0	0	0	0	2	0	0	2	0	0	2	2	2	0	0	0	0	0	4	6	0	0	2	0	6	4	0	0	0	0	0	2	6	0	8	0	0	0	8
"AIOB"	0	0	0	2	0	0	0	0	2	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	2
"AIOE"	2	0	0	0	0	0	2	0	4	2	4	0	0	2	0	2	2	0	0	0	0	0	2	0	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	4	0	2	2	0	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	4	2	0	2	0	0	0	4
"AIOR"	2	4	0	2	0	0	2	0	2	4	0	4	0	0	0	2	0	4	0	0	0	2	0	1	0	0	0	6	0	0	8	2	0	2	6	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	2	2	0	0	0	0	0	2	0	8	0	0	0	0	4	0	2	2	2	0	2	2	2	0	6	0	0	0	12
"AIOS"	0	2	0	0	0	0	0	0	2	4	2	4	0	4	2	0	0	6	0	0	6	2	0	0	0	0	0	0	2	0	2	0	0	2	2	2	0	0	0	2	2	0	2	0	2	0	0	0	2	0	0	0	2	4	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2
"AIOX"	0	0	0	4	0	0	0	2	0	2	0	2	0	0	2	0	0	4	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	0	2	0	2	0	0	0	0	2	0	2	0	2	0
"ALG"	2	0	0	4	0	2	4	2	2	6	0	11	0	2	4	2	4	0	0	0	8	0	0	0	2	0	0	0	0	0	4	0	0	0	10	0	1	2	4	4	2	0	0	2	0	2	0	2	2	0	12	4	0	10	0	0	0	0	0	0	4	0	0	0	0	2	2	0	0	8	0	4	6	2	0	4	0	2	0	10
"ALI"	2	0	0	0	0	0	4	2	4	14	2	0	0	8	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	4	0	2	4	4	2	0	0	4	0	0	0	0	0	0	0	2	0	10	0	2	0	4	0	0	0	0	0	0	2	0	0	0	0	4	0	0	2	0	2	0	2	4	2	0	2	0	0	2	6
"ALMG"	0	0	0	0	0	0	0	0	2	20	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	2	0	0	2	2	0	0	0	0	0	0	2	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	4	0	2	0	2	0	6
"ALU1P"	2	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	2	0
"AMPC"	4	6	0	2	2	0	0	0	6	5	2	8	2	5	8	0	6	6	0	0	22	2	4	2	4	16	0	2	0	2	6	0	0	10	8	0	0	0	4	9	0	0	0	0	0	0	0	2	2	18	3	2	2	2	0	0	5	0	3	0	11	0	0	0	89	2	2	8	2	2	0	2	4	10	1	4	6	0	1	15
"AMPH"	2	20	6	6	0	0	2	0	5	0	0	4	0	2	0	3	0	6	1	2	61	0	0	2	3	14	0	2	0	45	14	1	4	4	4	0	2	6	0	12	2	0	2	0	0	0	0	0	2	139	5	0	0	6	0	0	0	0	4	0	15	0	0	0	139	0	0	3	6	2	0	0	0	6	2	2	0	2	0	2
